DepName;Population;Depensestotales;Depensestotales_hab;Depenses_investissement;Depenses_investissement_hab;Partdesdepensesinvestissementsurletotaldesdepenses
Ain;629786.0;571665247;908;103298764;164;18.07
Aisne;555400.0;589144384;1061;78565776;141;13.34
Allier;353246.0;402090166;1138;54989555;156;13.68
Alpes-de-Haute-Provence;166316.0;224542387;1350;47144181;283;21.00
Hautes-Alpes;144950.0;189185505;1305;35761295;247;18.90
Alpes-Maritimes;1098465.0;1168042562;1063;149996923;137;12.84
Ardèche;328189.0;389858004;1188;69553438;212;17.84
Ardennes;291031.0;343013672;1179;51232245;176;14.94
Ariège;158154.0;201427532;1274;41581262;263;20.64
Aube;313892.0;331478980;1056;53613850;171;16.17
Aude;372259.0;496249095;1333;71667390;193;14.44
Aveyron;287806.0;350532316;1218;61058301;212;17.42
Bouches-du-Rhône;2014702.0;2436621371;1209;490373547;243;20.13
Calvados;704567.0;667100192;947;85113464;121;12.76
Cantal;153268.0;202675261;1322;30309871;198;14.95
Charente;366776.0;408386769;1113;47783909;130;11.70
Charente-Maritime;648031.0;707051504;1091;120629705;186;17.06
Cher;320019.0;355832102;1112;35555107;111;9.99
Corrèze;249856.0;297779505;1192;43270806;173;14.53
Corse-du-Sud;147823.0;249907844;1691;55114653;373;22.05
Haute-Corse;173659.0;229976357;1324;30292962;174;13.17
Côte-d'Or;541517.0;535859363;990;73846772;136;13.78
Côtes-d'Armor;616013.0;603876771;980;86300792;140;14.29
Creuse;126511.0;183505204;1451;20019984;158;10.91
Dordogne;429268.0;471135281;1098;84237239;196;17.88
Doubs;545888.0;529693803;970;74806830;137;14.12
Drôme;506210.0;575477475;1137;99361354;196;17.27
Eure;609226.0;536817621;881;82353965;135;15.34
Eure-et-Loir;443490.0;427451764;964;65945674;149;15.43
Finistère;932896.0;861161074;923;122530836;131;14.23
Gard;742441.0;911512642;1228;131825347;178;14.46
Haute-Garonne;1306125.0;1319956649;1011;147756314;113;11.19
Gers;196930.0;251355250;1276;29829648;151;11.87
Gironde;1514870.0;1497400724;988;187270980;124;12.51
Hérault;1097047.0;1283269633;1170;181905870;166;14.18
Ille-et-Vilaine;1036181.0;945445507;912;158029169;153;16.71
Indre;235956.0;220750778;936;30105393;128;13.64
Indre-et-Loire;612305.0;521719416;852;56739311;93;10.88
Isère;1253410.0;1352847734;1079;248195988;198;18.35
Jura;271439.0;318656382;1174;65310504;241;20.50
Landes;406809.0;435770117;1071;76557874;188;17.57
Loir-et-Cher;342224.0;334301654;977;39968126;117;11.96
Loire;771367.0;733665783;951;85882293;111;11.71
Haute-Loire;233488.0;238298526;1021;37956048;163;15.93
Loire-Atlantique;1349609.0;1213102077;899;188095465;139;15.51
